epoch,eval_loss,eval_accuracy,train_loss
0,5.475968837738037,0.1694859266281128,6.669519424438477
1,4.816497325897217,0.22802338004112244,5.198720455169678
2,4.547606945037842,0.26080387830734253,4.708779811859131
3,4.343551158905029,0.29418641328811646,4.33311128616333
4,4.2293701171875,0.31889277696609497,3.8850035667419434
5,4.249115467071533,0.32512542605400085,3.4043033123016357
6,4.354006767272949,0.3258691132068634,2.934215545654297
7,4.539310455322266,0.3219972848892212,2.5261521339416504
8,4.715936183929443,0.318916380405426,2.227193832397461
9,4.841299533843994,0.3189045786857605,2.0374033451080322
10,4.941760063171387,0.31892818212509155,1.924124002456665
11,4.968727111816406,0.318538635969162,1.8479578495025635
12,4.9945149421691895,0.32310688495635986,1.7934192419052124
13,4.987199306488037,0.32593992352485657,1.7492772340774536
14,5.021565914154053,0.3245706260204315,1.7103276252746582
15,5.008358955383301,0.3306262195110321,1.6790046691894531
16,5.006656169891357,0.33052000403404236,1.6492502689361572
17,5.0073418617248535,0.33415570855140686,1.624013900756836
18,5.0160136222839355,0.3334946632385254,1.5996580123901367
19,4.996057510375977,0.33635130524635315,1.5792721509933472
20,4.6448893547058105,0.3588384687900543,2.442692995071411
21,4.64397668838501,0.3630880117416382,2.310586452484131
22,4.642546653747559,0.36357200145721436,2.242901086807251
23,4.665162563323975,0.3671014606952667,2.183459520339966
24,4.660312652587891,0.36693620681762695,2.135390520095825
25,4.673248767852783,0.37065455317497253,2.090552568435669
26,4.671757698059082,0.3714454472064972,2.0508229732513428
27,4.68084192276001,0.37138643860816956,2.0118448734283447
28,4.695426940917969,0.3752700388431549,1.9767444133758545
29,4.687335968017578,0.3757658302783966,1.9455615282058716
30,4.585165023803711,0.38176238536834717,2.3108067512512207
31,4.552001953125,0.3854099214076996,2.2658793926239014
32,4.550777912139893,0.3864486813545227,2.2288267612457275
33,4.5492987632751465,0.3876173198223114,2.1922876834869385
34,4.5388922691345215,0.3897775113582611,2.1584713459014893
35,4.547038555145264,0.3891754746437073,2.125349998474121
36,4.541865348815918,0.3902614712715149,2.0949692726135254
37,4.549863338470459,0.39302366971969604,2.0645880699157715
38,4.54916524887085,0.3934132158756256,2.0369179248809814
39,4.5597076416015625,0.3935784697532654,2.0088770389556885
40,4.433048248291016,0.3976273536682129,2.7871932983398438
41,4.364425182342529,0.3999764025211334,2.7213571071624756
42,4.3225226402282715,0.40290385484695435,2.682389259338379
43,4.309459686279297,0.4038245975971222,2.646148681640625
44,4.301035404205322,0.40452104806900024,2.614548683166504
45,4.291562557220459,0.4053473472595215,2.5844476222991943
46,4.286494731903076,0.40743669867515564,2.5574536323547363
47,4.285898208618164,0.40743669867515564,2.533841609954834
48,4.282490253448486,0.40887683629989624,2.5073611736297607
49,4.276945114135742,0.41013988852500916,2.487586259841919
50,4.267693519592285,0.4079678952693939,2.8290231227874756
51,4.243783473968506,0.4086407423019409,2.7982537746429443
52,4.228200435638428,0.4094080328941345,2.778501033782959
53,4.220986843109131,0.4104231894016266,2.759312391281128
