epoch,eval_loss,eval_accuracy,train_loss
0,2.5277516841888428,0.7249569892883301,2.0837850570678711,5.547976016998291,0.1486513614654541,6.330691814422607
2,5.0353007316589355,0.19538453221321106,5.526710033416748
3,4.775834560394287,0.22163726389408112,5.1884565353393555
4,4.602563381195068,0.24433690309524536,4.967422962188721
5,4.47860860824585,0.26436877250671387,4.7887773513793945
6,4.360480308532715,0.2846367359161377,4.636880874633789
7,4.265384674072266,0.30217790603637695,4.504492282867432
8,4.177249431610107,0.3227291703224182,4.366110801696777
9,4.088790416717529,0.3374136984348297,4.238034725189209
10,3.9462478160858154,0.36338311433792114,3.9158945083618164
11,3.893225908279419,0.3808888792991638,3.686608076095581
12,3.866744041442871,0.38921090960502625,3.496238946914673
13,3.8541319370269775,0.39622265100479126,3.333239793777466
14,3.865492582321167,0.4008263051509857,3.1918113231658936
15,3.8894622325897217,0.4028802514076233,3.06413197517395
16,3.904773235321045,0.40636253356933594,2.954019069671631
17,3.935746192932129,0.4099746346473694,2.8554234504699707
18,3.952930450439453,0.41005727648735046,2.7694573402404785
19,3.9862749576568604,0.4116862416267395,2.689275026321411
20,3.955989360809326,0.4134332835674286,2.8066728115081787
21,3.9548392295837402,0.4175647795200348,2.7797303199768066
22,3.9619157314300537,0.42042142152786255,2.7399039268493652
23,3.974114179611206,0.4175175726413727,2.7055165767669678
24,3.9986467361450195,0.4206221103668213,2.665346384048462
25,4.00380802154541,0.42136576771736145,2.633840799331665
26,4.0068278312683105,0.423714816570282,2.5973868370056152
27,4.00725793838501,0.42370301485061646,2.56620454788208
