epoch,eval_loss,eval_accuracy,train_loss
0,5.500331878662109,0.23253245651721954,6.54740047454834
1,4.868940353393555,0.3055672347545624,5.2644500732421875
2,4.273738861083984,0.3931615650653839,4.69796085357666
3,3.8559370040893555,0.45116758346557617,4.197899341583252
4,3.5436110496520996,0.5040809512138367,3.8338160514831543
5,3.3321497440338135,0.5406142473220825,3.568613290786743
6,3.189746141433716,0.567746639251709,3.371807098388672
7,3.0801947116851807,0.5899940133094788,3.2293589115142822
8,2.9928510189056396,0.6081433892250061,3.120903253555298
9,2.9445908069610596,0.6179523468017578,3.037673234939575
10,2.8953404426574707,0.6283185482025146,2.9723331928253174
11,2.852283000946045,0.6376070380210876,2.916595935821533
12,2.827942132949829,0.6425384283065796,2.8716888427734375
13,2.791919469833374,0.6507980823516846,2.833512544631958
