epoch,eval_loss,eval_accuracy,train_loss
0,2.5277516841888428,0.7249569892883301,2.083785057067871
1,4.521339416503906,0.2901139259338379,3.9099643230438232
2,4.079004764556885,0.35859057307243347,3.199289083480835
3,3.870454788208008,0.39675384759902954,2.8718512058258057
4,3.77494740486145,0.4184147119522095,2.6304750442504883
5,3.7148473262786865,0.43452754616737366,2.7081754207611084
6,3.684277296066284,0.44417163729667664,2.605489730834961
7,3.6599130630493164,0.4503452777862549,2.517812490463257
8,3.6479034423828125,0.4563772678375244,2.4395711421966553
9,3.636953353881836,0.46196070313453674,2.3680741786956787
10,3.637589454650879,0.46466389298439026,2.4711837768554688
11,3.6300907135009766,0.4684648811817169,2.4213809967041016
12,3.634106397628784,0.47031813859939575,2.3793163299560547
13,3.635418176651001,0.47368237376213074,2.3374130725860596
14,3.638476610183716,0.47529953718185425,2.3000688552856445
15,3.6456358432769775,0.47781386971473694,2.4525887966156006
16,3.6343462467193604,0.48072952032089233,2.4215078353881836
17,3.6255035400390625,0.4817919135093689,2.394460678100586
18,3.6297104358673096,0.48245295882225037,2.3668503761291504
19,3.6223671436309814,0.484530508518219,2.3443751335144043
20,3.631070852279663,0.4841645658016205,2.5285797119140625
21,3.6234312057495117,0.48552206158638,2.503849983215332
22,3.6211817264556885,0.48689135909080505,2.4808523654937744
23,3.618272304534912,0.48778849840164185,2.4638803005218506
24,3.616584300994873,0.489145964384079,2.445845603942871
25,3.6082265377044678,0.4903618097305298,2.4287121295928955
26,3.610445499420166,0.4914478063583374,2.4139249324798584
27,3.602231025695801,0.49286434054374695,2.398374557495117
28,3.608200788497925,0.49233314394950867,2.3834421634674072
29,3.6067698001861572,0.49334830045700073,2.3677563667297363
30,3.6039469242095947,0.49493008852005005,2.3555679321289062
31,3.60312557220459,0.4945877492427826,2.3414769172668457
32,3.6148791313171387,0.49559110403060913,2.3297743797302246
33,3.6106605529785156,0.496511846780777,2.316481828689575
34,3.615786075592041,0.496216744184494,2.306149959564209
35,3.617658853530884,0.49635839462280273,2.2936267852783203
36,3.6179580688476562,0.4974325895309448,2.281196355819702
37,3.616166353225708,0.49770408868789673,2.272956132888794
38,3.6139919757843018,0.4986248314380646,2.261105537414551
39,3.622565746307373,0.49887269735336304,2.2505266666412354
40,3.619135856628418,0.5001593828201294,2.2408416271209717
41,3.625284433364868,0.4998878836631775,2.2311291694641113
42,3.631615400314331,0.49851858615875244,2.2223949432373047
43,3.6252291202545166,0.501127302646637,2.2124900817871094
